需求,key,备注,中文（zh）,英语（en）,阿语（ar）,Turkish,,,,,,,,,,,,,,,,
P0【服务端】平台移除不活跃主播2.0-Mia ,remove_host_v2300_1,1.1.1 主播第一次提醒：,您上个月未满足主播身份的基本要求：①每月上麦时长不少于5小时；②私信和通话收益总和不少于%AA水晶。请尽快完成任一任务，否则主播身份可能被取消。,"You didn't meet the basic requirements for hosts last month: ① Be on mic for at least 5 hours per month; ② Earn a total of at least %AA crystals from messages and calls. Please complete either task as soon as possible, or your host status may be revoked.",لم تستوفِ المتطلبات الأساسية للمضيفين خلال الشهر الماضي، وهي: ① استخدام الميكروفون لمدة لا تقل عن خمس ساعات في الشهر؛ ② تحقيق ما لا يقل عن ‎%AA‎ من الكريستالات من الرسائل والمكالمات. يُرجى إتمام أيٍّ من هذين الشرطين في أقرب وقت ممكن، وإلا فقد يتم إلغاء حالة المضيف الخاصة بك.,Geçen ay temel sunuculuk şartlarını karşılamadın: ① Ayda en az 5 saat mikrofonda olmak; ② Mesaj ve aramalardan toplamda en az %AA kristal kazanmak. Lütfen görevlerden birini en kısa zamanda tamamla yoksa sunuculuğun iptal edilebilir.,,,,,,,,,,,,,,,,
,remove_host_v2300_2,,您在最近连续2个月未满足主播身份要求：①每月上麦时长不少于5小时；②私信和通话收益总和不少于%AA水晶。请在本月底前完成上麦或私信通话收益任务，否则主播身份将于下月1日自动取消。,"You haven't met the host requirements for 2 consecutive months: ① Be on mic for at least 5 hours per month; ② Earn a total of at least %AA crystals from messages and calls. Please complete the mic-time or the message/call earnings task by the end of this month, or your host status will be automatically revoked on the 1st of next month.",لم تستوفِ متطلبات المضيف لمدة شهرين متتاليين، وهي: ① استخدام الميكروفون لمدة لا تقل عن خمس ساعات في الشهر؛ ② تحقيق ما لا يقل عن ‎%AA‎ من الكريستالات من الرسائل والمكالمات. يُرجى إتمام شرط وقت الميكروفون أو شرط أرباح الرسائل والمكالمات قبل نهاية هذا الشهر، وإلا فسيتم إلغاء حالة المضيف الخاصة بك تلقائيًا في اليوم الأول من الشهر القادم.,2 ay üst üste temel sunuculuk şartlarını karşılamadın: ① Ayda en az 5 saat mikrofonda olmak; ② Mesaj ve aramalardan toplamda en az %AA kristal kazanmak. Lütfen mikrofon süresi ve mesaj/arama kazancı görevlerinden birini bu ayın sonuna kadar tamamla yoksa sunuculuğun gelecek ayın 1'inde otomatik olarak iptal edilir.,,,,,,,,,,,,,,,,
,remove_host_v2300_3,,以下主播未满足身份要求：①每月上麦时长不少于5小时；②私信和通话收益总和不少于%AA水晶。请督促他们尽快完成任务，否则其主播身份将于下月1日自动取消。%AA等%BB位主播。,"The following hosts haven't met the host status requirements: ① Be on mic for at least 5 hours per month; ② Earn a total of at least %AA crystals from messages and calls. Please make sure they complete the tasks as soon as possible, or their host status will be automatically revoked on the 1st of next month. %AA and %BB other hosts.",المضيفون الآتي ذكرهم لم يستوفوا متطلبات حالة المضيف، وهي: ① استخدام الميكروفون لمدة لا تقل عن خمس ساعات في الشهر؛ ② تحقيق ما لا يقل عن ‎%AA‎ من الكريستالات من الرسائل والمكالمات. يُرجى التأكد من إتمامهم لهذه المهام في أقرب وقت ممكن، وإلا فسيتم إلغاء حالة المضيف الخاصة بهم تلقائيًا في اليوم الأول من الشهر القادم. ‎%AA‎ و‎%BB‎ من المضيفين الآخرين.,Aşağıdaki sunucular sunuculuk şartlarını karşılamadı: ① Ayda en az 5 saat mikrofonda olmak; ② Mesaj ve aramalardan toplamda en az %AA kristal kazanmak. Lütfen görevleri en kısa zamanda tamamlamalarını sağla yoksa sunuculukları gelecek ayın 1'inde otomatik olarak iptal edilir. %AA ve %BB başka sunucu.,,,,,,,,,,,,,,,,
,remove_host_v2300_4,,本月私信通话收益之和,Total earnings from messages and calls this month,إجمالي الأرباح من الرسائل والمكالمات خلال هذا الشهر,Bu ay mesaj ve aramalardan gelen toplam kazanç,,,,,,,,,,,,,,,,
,remove_host_v2300_5,,上月私信通话收益之和,Total earnings from messages and calls last month,إجمالي الأرباح من الرسائل والمكالمات خلال الشهر الماضي,Geçen ay mesaj ve aramalardan gelen toplam kazanç,,,,,,,,,,,,,,,,
,remove_host_v2300_6,,您在过去2个月未满足主播身份要求：①每月上麦时长不少于5小时；②私信和通话收益总和不少于%AA水晶。系统已自动取消您的主播身份。,You didn't meet the host requirements for the past 2 months: ① Be on mic for at least 5 hours per month; ② Earn a total of at least %AA crystals from messages and calls. Your host status has been automatically revoked.,لم تستوفِ متطلبات المضيف خلال الشهرين الماضيين، وهي: ① استخدام الميكروفون لمدة لا تقل عن خمس ساعات في الشهر؛ ② تحقيق ما لا يقل عن ‎%AA‎ من الكريستالات من الرسائل والمكالمات. وقد تم إلغاء حالة المضيف الخاصة بك تلقائيًا.,Geçtiğimiz 2 ay sunuculuk şartlarını karşılamadın: ① Ayda en az 5 saat mikrofonda olmak; ② Mesaj ve aramalardan toplamda en az %AA kristal kazanmak. Sunuculuğun otomatik olarak iptal edildi.,,,,,,,,,,,,,,,,
,remove_host_v2300_7,,主播身份即将取消,Host status about to be revoked,حالة المضيف على وشك الإلغاء,Sunuculuk iptal edilmek üzere,,,,,,,,,,,,,,,,
,remove_host_v2300_8,,公会主播即将取消身份,Agency host status about to be revoked,حالة مضيف الوكالة على وشك الإلغاء,Ajans sunuculuğu iptal edilmek üzere,,,,,,,,,,,,,,,,
,remove_host_v2300_9,,主播身份已取消,Host status revoked,تم إلغاء حالة المضيف,Sunuculuk iptal edildi,,,,,,,,,,,,,,,,
P1【客户端】引导女及时回复-Mia ,guide_reply_v2300_1,1. 弹窗强引导女回消息,私信待回复,Message awaiting reply,رسالة في انتظار الرد,Mesaj cevap bekliyor,,,,,,,,,,,,,,,,
,guide_reply_v2300_2,,回消息，立即赚%AA水晶,Reply and earn %AA crystals,رُدّ واكسب ‎%AA‎ من الكريستالات,Cevapla ve %AA kristal kazan,,,,,,,,,,,,,,,,
,guide_reply_v2300_3,2. 房间内强引导女回消息,赚%AA%BB,Earn %AA %BB,اكسب ‎%AA‎ ‎%BB‎,%AA %BB kazan,,,,,,,,,,,,,,,,
,guide_reply_v2300_4,3. 2分钟回复额外奖励,惊喜！%AA内回复上条消息，额外+%BB,Surprise! Reply to the last message within %AA to earn an extra +%BB.,مفاجأة! رُدّ على آخر رسالة خلال ‎%AA‎ لتحصل على ‎+%BB‎ إضافية.,Sürpriz! Son mesaja %AA içinde cevap vererek ekstra +%BB kazan.,,,,,,,,,,,,,,,,
,guide_reply_v2300_5,,[%AAs回复+%BB[crystal]],[Reply in %AAs for +%BB[crystal]],[رُدّ خلال ‎%AAs‎ لتحصل على ‎+%BB‎[كريستالات]],[+%BB[crystal] için %AAs içinde cevap ver],,,,,,,,,,,,,,,,
,guide_reply_v2300_6,,限时%AAs的水晶奖励已失效,The limited-time %AAs crystal reward has expired.,انتهت صلاحية مكافأة الكريستالات المحدودة بزمن ‎%AAs‎.,%AAs sınırlı süreli kristal ödülünün süresi doldu.,,,,,,,,,,,,,,,,
,guide_reply_v2300_7,4. 男金币不足时给女激励继续发消息,他金币不足，%AA内发消息吸引对方完成充值，额外+%BB,He doesn't have enough coins. Message him within %AA and get him to recharge to earn an extra +%BB.,إنه لا يملك ما يكفي من القطع النقدية. أرسل له رسالة خلال ‎%AA‎ وشجّعه على إعادة الشحن لتحصل على ‎+%BB‎ إضافية.,Yeterli coini yok. Ona %AA içinde mesaj atıp yeniden yükleme yapmasını sağla ve ekstra +%BB kazan.,,,,,,,,,,,,,,,,
,guide_reply_v2300_8,,[%AAs回复+%BB],[Reply in %AAs for +%BB],[رُدّ خلال ‎%AAs‎ لتحصل على ‎+%BB‎],[+%BB için %AAs içinde cevap ver],,,,,,,,,,,,,,,,
,guide_reply_v2300_9,5. 聊天10轮奖励任务,聊天10个来回,Chat for 10 rounds,قم بالدردشة لعشر جولات,10 tur sohbet et,,,,,,,,,,,,,,,,
,guide_reply_v2300_10,,一来一回的消息记为一轮,One message sent and one received count as one round.,تُحتسب الرسالة المرسلة والرسالة المستلمة معًا جولةً واحدة.,"Bir gönderilen, bir alınan mesaj bir tur sayılır.",,,,,,,,,,,,,,,,
P1【H5+客户端】用户引导币商-Mia ,rechargeagency_v2300_1,,币商温馨提示,Recharge Agency Reminder,تذكير من وكالة إعادة الشحن,Ajans Yüklemesi Hatırlatması,,,,,,,,,,,,,,,,
,rechargeagency_v2300_2,,系统检测你没有添加%AA。完善这些信息，可以帮助客户更好地了解您，提升成交机会，请尽快补充。,We noticed that you haven't added %AA. Completing this information helps customers get to know you better and increases your chances of successful transactions. Please add it as soon as possible.,لاحظنا أنك لم تُضِف ‎%AA‎. إن استكمال هذه المعلومات يساعد العملاء على التعرّف عليك بصورة أفضل ويزيد فرصك في إتمام المعاملات بنجاح. يُرجى إضافتها في أقرب وقت ممكن.,%AA kısmını eklemediğini fark ettik. Bu bilgiyi doldurman müşterilerin seni daha iyi tanımasını sağlar ve başarılı alışverişler yapma şansını artırır. Lütfen bir an önce ekle.,,,,,,,,,,,,,,,,
,rechargeagency_v2300_3,,币价图片,Coin Price Chart,مخطط أسعار القطع النقدية,Coin Fiyat Çizelgesi,,,,,,,,,,,,,,,,
,rechargeagency_v2300_4,,消息文案,Message Text,نصّ الرسالة,Yazılı Mesaj At,,,,,,,,,,,,,,,,
,rechargeagency_v2300_5,,立即设置,Configure Now,إعداد الآن,Şimdi Ayarla,,,,,,,,,,,,,,,,
,rechargeagency_v2300_6,4. 充值引导找币商（客户端）,成为币商%AA天,Recharge Agency for %AA days,إعادة شحن الوكالة لمدة ‎%AA‎ من الأيام,%AA gün için Ajans Yüklemesi,,,,,,,,,,,,,,,,
,rechargeagency_v2300_7,,成为币商%AA天，最近30天转账%BB次,"Recharge Agency for %AA days, with %BB transfers in the last 30 days",إعادة شحن الوكالة لمدة ‎%AA‎ من الأيام، مع ‎%BB‎ عملية تحويل خلال آخر 30 يومًا.,"%AA gün için Ajans Yüklemesi, son 30 günde %BB transfer",,,,,,,,,,,,,,,,
,rechargeagency_v2300_8,6. 币商中心（H5）,待补充,To be completed,قيد الإكمال,Tamamlanacak,,,,,,,,,,,,,,,,
,,,修改标题,Edit Title,تعديل العنوان,Başlığı Düzenle,,,,,,,,,,,,,,,,
,,,提示：标题对他人不可见，仅用于自己识别话术类型。,Note: The title is not visible to others and is only for you to identify the template type.,ملاحظة: العنوان غير مرئي للآخرين وهو مخصّص لك فقط لتحديد نوع القالب.,"Not: Başlık başkaları tarafından görülmez, sadece hangi şablon olduğunu anlamanız içindir.",,,,,,,,,,,,,,,,
,,,是否确认开启？,Are you sure you want to enable this?,هل أنت متأكد من رغبتك في تفعيل هذا؟,Bunu etkinleştirmek istediğine emin misin?,,,,,,,,,,,,,,,,
,,,是否确认关闭？,Are you sure you want to disable this?,هل أنت متأكد من رغبتك في تعطيل هذا؟,Bunu kapatmak istediğine emin misin?,,,,,,,,,,,,,,,,
,,,是否确认删除？,Are you sure you want to delete this?,هل أنت متأكد من رغبتك في حذف هذا؟,Bunu silmek istediğine emin misin?,,,,,,,,,,,,,,,,
,,,第1句,Line 1,السطر 1,Satır 1,,,,,,,,,,,,,,,,
,,,第2句,Line 2,السطر 2,Satır 2,,,,,,,,,,,,,,,,
,,,第3句,Line 3,السطر 3,Satır 3,,,,,,,,,,,,,,,,
,,,新增话术,Add Template,إضافة قالب,Şablon Ekle,,,,,,,,,,,,,,,,
,,,编辑话术,Edit Template,تعديل القالب,Şablon Düzenle,,,,,,,,,,,,,,,,
,,,文案,Text,نصية,Metin,,,,,,,,,,,,,,,,
,,,图片,Image,صورة,Resim,,,,,,,,,,,,,,,,
,,,第%AA句内容涉嫌违规，请重新编辑。,Line %AA violates our policies. Please edit it.,السطر ‎%AA‎ يخالف سياساتنا. يُرجى تعديله.,Satır %AA kurallarımıza aykırı. Lütfen düzenle.,,,,,,,,,,,,,,,,
,,,保存,Save,حفظ,Kaydet,,,,,,,,,,,,,,,,
,,,数据中心,Dashboard,لوحة المعلومات,Ana Sayfa,,,,,,,,,,,,,,,,
,,,整体数据（UTC+0）,Overall Stats (UTC+0),الإحصاءات الإجمالية (+0 بالتوقيت العالمي),Genel İstatistikler (GMT+0),,,,,,,,,,,,,,,,
,,这套话术发送给了多少个用户,触发用户数,Users Reached,المستخدمون الذين تم الوصول إليهم,Ulaşılan Kullanıcılar,,,,,,,,,,,,,,,,
,,有多少个用户回复了,回复用户数,Users Who Replied,المستخدمون الذين ردّوا,Cevap Veren Kullanıcılar,,,,,,,,,,,,,,,,
,,用户回复/发送给的用户数,用户回复率,User Reply Rate,معدل ردّ المستخدمين,Cevap Veren Kullanıcı Oranı,,,,,,,,,,,,,,,,
,,,创建时间（UTC+0）：,Creation Time (UTC+0):,وقت الإنشاء (+0 بالتوقيت العالمي):,Oluşturulma Zamanı (GMT+0):,,,,,,,,,,,,,,,,
,,,你可选择已配置的打招呼话术发送：,You can send one of your saved greeting templates:,يمكنك إرسال إحدى قوالب التحية المحفوظة لديك:,Kayıtlı selam şablonlarından birini gönderebilirsin:,,,,,,,,,,,,,,,,
,,,每套话术数据（UTC+0）,Stats for Each Template (UTC+0),الإحصاءات الخاصة بكل قالب (+0 بالتوقيت العالمي),Her Bir Şablonun İstatistikleri (UTC+0),,,,,,,,,,,,,,,,
,,,请查收昨天的打招呼文案配置数据,Please check yesterday's greeting message stats,يُرجى التحقق من إحصاءات رسائل التحية ليوم أمس,Lütfen dünkü selam mesajının istatistiklerine bak,,,,,,,,,,,,,,,,
,,,（UTC+0）昨天的打招呼日报已生成，可去数据中心查看详情。,(UTC+0) Yesterday's greeting report has been generated. You can view the details in the Dashboard.,(+0 بالتوقيت العالمي) تم إنشاء تقرير التحيات ليوم أمس، ويمكنك عرض التفاصيل في لوحة المعلومات.,(GMT+0) Dünkü selam raporu oluşturuldu. Detayları Ana Sayfada görebilirsin.,,,,,,,,,,,,,,,,
,,,查看 ,View,عرض,Görüntüle,,,,,,,,,,,,,,,,
,,,配置打招呼文案，可更高效赚取水晶！,Configure greeting messages to earn crystals more efficiently!,اضبط رسائل التحية لتربح الكريستالات بكفاءة أعلى!,Daha verimli kristal kazanmak için selam mesajları ayarla!,,,,,,,,,,,,,,,,
,,,自定义打招呼文案，可以让男用户更有意愿回复哦，更快赚取水晶。,Custom greeting messages can encourage male users to reply more and help you earn crystals faster.,يمكن لرسائل التحية المخصصة تشجيع المستخدمين الذكور على الرد ومساعدتك في كسب الكريستالات بسرعة أكبر.,Özel selam mesajları erkek kullanıcıları cevap vermeye teşvik ederek daha hızlı kristal kazanmanı sağlayabilir.,,,,,,,,,,,,,,,,
P0【客户端+H5】聊天成长优化-希琳 ,chatgrow_v2300_1,,实时分,My Real-Time Rating,تقييمي اللحظي,Gerçek Zamanlı Oranım,,,,,,,,,,,,,,,,
,chatgrow_v2300_2,,实时分每自然半小时更新1次，将决定半小时内可享受的权益等级。,The Real-Time Rating updates every half hour and determines your benefit rank for the next 30 minutes.,يتم تحديث التقييم اللحظي كل نصف ساعة ويحدد رتبة مزاياك للثلاثين دقيقة التالية.,Gerçek Zamanlı Oran yarım saatte bir güncellenir ve sonraki 30 dakika için avantaj sıralamanı belirler.,,,,,,,,,,,,,,,,
,chatgrow_v2300_3,,分数范围,Rating Range,نطاق التقييم,Oran Sıralaması,,,,,,,,,,,,,,,,
,chatgrow_v2300_4,,等级,Rank,التصنيف,Sıralama,,,,,,,,,,,,,,,,
,chatgrow_v2300_5,,等级享受的权益,Benefits by Rank,الفوائد بحسب التصنيف,Sıralamaya Göre Avantajlar,,,,,,,,,,,,,,,,
,chatgrow_v2300_6,,每个等级都可以享受超级曝光、自动打招呼、免费打招呼的权益，但不同等级可享受的次数不同。,"Each rank grants benefits like super exposure, auto greetings, and free greetings, but the number of times you can use them depends on your rank.",يمنح كل تصنيف مزايا مثل التعرّض الفائق، والتحيات التلقائية، والتحيات المجانية، لكن عدد المرات التي يمكنك استخدامها يعتمد على ترتيبك.,"Her bir sıralamanın getirdiği avantajlar vardır. Örneğin öne çıkarılma, otomatik selam, ücretsiz selam. Kaç kez kullanabileceğin sıralamana bağlıdır.",,,,,,,,,,,,,,,,
,chatgrow_v2300_7,,30min内推荐给异性的次数,Recommendations to male users in 30 min,التوصيات للمستخدمين الذكور خلال 30 دقيقة,30 dakika içinde erkek kullanıcılara önerilme,,,,,,,,,,,,,,,,
,chatgrow_v2300_8,,1天内推荐给异性的次数,Recommendations to male users in 1 day,التوصيات للمستخدمين الذكور خلال يوم واحد,1 gün içinde erkek kullanıcılara önerilme,,,,,,,,,,,,,,,,
,chatgrow_v2300_9,,30min内免费打招呼的次数,Free greetings in 30 min,التحيات المجانية خلال 30 دقيقة,30 dakika içinde ücretsiz selam,,,,,,,,,,,,,,,,
,chatgrow_v2300_10,,1天内免费打招呼的次数,Free greetings in 1 day,التحيات المجانية خلال يوم واحد,1 gün içinde ücretsiz selam,,,,,,,,,,,,,,,,
,chatgrow_v2300_11,,如何提升实时分？,How to improve your Real-Time Rating?,كيفية تحسين تقييمك اللحظي,Gerçek Zamanlı Oranını nasıl geliştirirsin?,,,,,,,,,,,,,,,,
,chatgrow_v2300_12,,实时分由5个部分组成：聊天深度、及时回复、主动建联、在线时长、个人资料。,"The Real-Time Rating is based on 5 components: Chat Depth, Response Speed, Active Engagement, Online Time, and Personal Profile.",يعتمد التقييم اللحظي على 5 عناصر: عمق الدردشة، وسرعة الاستجابة، والتفاعل النشط، ووقت البقاء على الإنترنت، وملف التعريف الشخصي.,"Gerçek Zamanlı Oran 5 unsura bağlıdır: Sohbet Derinliği, Cevaplama Hızı, Aktif İletişim, Online Geçirilen Zaman ve Kişisel Profil.",,,,,,,,,,,,,,,,
,chatgrow_v2300_13,,你可以返回到聊天成长页面，滑动到「提升实时分」的部分，查看并提升你在每个部分的分数，每个部分的分数会实时更新，将决定你下一个半小时的整体实时分。,"You can return to the Chat Growth page and scroll to the ""Improve Real-Time Rating"" section to view and improve your score for each component. Each component's score updates in real time and will determine your overall rating for the next 30 minutes.","يمكنك العودة إلى صفحة نمو الدردشة والتمرير إلى قسم ""تحسين التقييم اللحظي"" للاطلاع على درجتك في كل عنصر والعمل على تحسينها. يتم تحديث درجة كل عنصر في الوقت الفعلي وستحدد تقييمك الإجمالي خلال الثلاثين دقيقة القادمة.","Sohbet Gelişimi sayfasına dönüp aşağıdaki ""Gerçek Zamanlı Oranı Geliştir"" kısmına gelerek her bir unsurdaki puanına bakabilir, onları geliştirebilirsin. Her bir unsurun puanı gerçek zamanlı olarak güncellenir ve sonraki 30 dakika için genel oranını belirler.",,,,,,,,,,,,,,,,
,chatgrow_v2300_14,,30min内%AA次,%AA times in 30 min,%AA‎ من المرات خلال 30 دقيقة,30 dakikada %AA kez,,,,,,,,,,,,,,,,
,chatgrow_v2300_15,,主动打招呼给异性,Proactively greet male users,بادر بتحية المستخدمين الذكور,Erkek kullanıcılara ilk mesajı at,,,,,,,,,,,,,,,,
,chatgrow_v2300_16,,提升建议,Improvement Tips,نصائح للتحسين,Geliştirme İpuçları,,,,,,,,,,,,,,,,
,chatgrow_v2300_17,,配置打招呼文案,Configure Greetings,إعداد التحيات,Selamlamaları Ayarla,,,,,,,,,,,,,,,,
,chatgrow_v2300_18,,去完成,Go,الانتقال,Git,,,,,,,,,,,,,,,,
,chatgrow_v2300_19,,我的实时分：%AA（%BB）,My Real-Time Rating: %AA (%BB),تقييمي اللحظي: ‎%AA‎ (‎%BB‎),Gerçek Zamanlı Oranım: %AA (%BB),,,,,,,,,,,,,,,,
,chatgrow_v2300_20,,%AA 当前等级%BB，有较大提升空间！,%AA Current Rank: %BB. There's plenty of room for improvement!,%AA التصنيف الحالي: %BB. لا يزال هناك مجال كبير للتحسين!,%AA Mevcut Oran: %BB. Hâlâ çok gelişebilirsin!,,,,,,,,,,,,,,,,
,chatgrow_v2300_21,,“免费打招呼”权益当前时段剩余%AA次，快去使用吧。,You have %AA Free Greetings left for the current period. Go use them!,يتبقى لديك %AA من التحيات المجانية لهذه الفترة. استخدمها الآن!,Mevcut dönem için %AA Ücretsiz Selamın kaldı. Hadi kullan!,,,,,,,,,,,,,,,,
,chatgrow_v2300_22,,30min内自动打招呼的次数,Number of auto greetings within 30 minutes,عدد التحيات التلقائية خلال 30 دقيقة,30 dakika içinde otomatik selamlama sayısı,,,,,,,,,,,,,,,,
,chatgrow_v2300_23,,1天内自动打招呼的次数,Number of auto greetings per day,عدد التحيات التلقائية في اليوم,Günde otomatik selamlama sayısı,,,,,,,,,,,,,,,,
,chatgrow_v2300_24,,实时分对应的等级,Real-time score level,مستوى النقاط في الوقت الفعلي,Gerçek zamanlı puan seviyesi,,,,,,,,,,,,,,,,
,chatgrow_v2300_25,,30分内,within 30 minutes,خلال 30 دقيقة,30 dakika içinde,,,,,,,,,,,,,,,,
,chatgrow_v2300_26,已使用： 4/20,已使用：%AA/%BB,Used: %AA/%BB,المستخدم: ‎%AA‎/‎%BB‎,Kullanılan: %AA/%BB,,,,,,,,,,,,,,,,
已有翻译,,,,,,,,,,,,,,,,,,,,,,
P0【H5】提现方式新增-希琳 ,withdraw_v2300_1,填写提示,请输入以 TR 开头后跟 24 位数字的国际银行帐号,Please enter an international bank account number starting with TR followed by 24 digits,يرجى إدخال رقم الحساب البنكي الدولي الذي يبدأ بـ TR ويتبعه 24 رقمًا,Lütfen TR ile başlayan ve 24 rakamdan oluşan uluslararası bir banka hesap numarası giriniz.,,,,,,,,,,,,,,,,
